"sno","occupation_title","nco_2015","nco_2004","division","subdivision","group","family"
"2993","Press Operator","8159.0400","8269.40","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Textile, Fur and Leather Products Machine Operators","Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified"
"2994","Leather Cutters, Lasters and Sewers and Related Machine Operators, Other","8159.9900","8269.90","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Textile, Fur and Leather Products Machine Operators","Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified"
"2995","Miller, Food Grains","8160.0700","8273.10","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Food and Related Products Machine Operators","Food and Related Products Machine Operators"
"2996","Seaming Machine Operator (Food Canning and Preserving)","8160.2500","8275.40","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Food and Related Products Machine Operators","Food and Related Products Machine Operators"
"2997","Magmaman","8160.4100","8276.70","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Food and Related Products Machine Operators","Food and Related Products Machine Operators"
"2998","Withering Loft Attendant (Tea)","8160.5800","8277.15","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Food and Related Products Machine Operators","Food and Related Products Machine Operators"
"2999","Pasteuriser, Brewery","8160.7500","8278.30","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Food and Related Products Machine Operators","Food and Related Products Machine Operators"
"3000","Husker, Machine (Food Grains)","8160.0800","8273.20","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Food and Related Products Machine Operators","Food and Related Products Machine Operators"
"3001","Seaming Machine Operator (Food Canning and Preserving)","8160.2500","8275.40","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Food and Related Products Machine Operators","Food and Related Products Machine Operators"
"3002","Magmaman","8160.4100","8276.70","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Food and Related Products Machine Operators","Food and Related Products Machine Operators"
"3003","Withering Loft Attendant (Tea)","8160.5800","8277.15","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Food and Related Products Machine Operators","Food and Related Products Machine Operators"
"3004","Pasteuriser, Brewery","8160.7500","8278.30","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Food and Related Products Machine Operators","Food and Related Products Machine Operators"
"3005","Husker, Machine (Food Grains)","8160.0800","8273.20","Plant and Machine Operators, and Assemblers","Stationary Plant and Machine Operators","Food and Related Products Machine Operators","Food and Related Products Machine Operators"
